User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories,BMI
14733363,male,68,190.0,94.0,29.0,105.0,40.8,231.0,26.038781163434905
14861698,female,20,166.0,60.0,14.0,94.0,40.3,66.0,21.773842357381334
11179863,male,69,179.0,79.0,5.0,88.0,38.7,26.0,24.65590961580475
16180408,female,34,179.0,71.0,13.0,100.0,40.5,71.0,22.15910864205237
17771927,female,27,154.0,58.0,10.0,81.0,39.8,35.0,24.456063417102378
15130815,female,36,151.0,50.0,23.0,96.0,40.7,123.0,21.928862769176792
19602372,female,33,158.0,56.0,22.0,95.0,40.5,112.0,22.432302515622492
11117088,male,41,175.0,85.0,25.0,100.0,40.7,143.0,27.755102040816325
12132339,male,60,186.0,94.0,21.0,97.0,40.4,134.0,27.170771187420506
17964668,female,26,146.0,51.0,16.0,90.0,40.2,72.0,23.925689622818542
13723164,female,36,177.0,76.0,1.0,74.0,37.8,3.0,24.258674071946118
13681290,female,21,157.0,56.0,17.0,100.0,40.0,92.0,22.7189744005842
15566424,male,66,171.0,79.0,11.0,90.0,40.0,58.0,27.01685988851271
12891699,female,32,157.0,54.0,18.0,93.0,40.4,88.0,21.907582457706194
13823829,male,53,182.0,85.0,2.0,82.0,38.1,7.0,25.661152034778407
17557348,female,39,156.0,62.0,28.0,104.0,40.8,170.0,25.476660092044707
12198133,male,39,182.0,82.0,4.0,82.0,38.6,11.0,24.755464315903875
15236104,male,46,169.0,67.0,11.0,89.0,40.2,43.0,23.458562375266975
11042324,female,27,171.0,65.0,4.0,85.0,38.6,15.0,22.229061933586404
16864285,male,50,188.0,86.0,14.0,94.0,40.2,74.0,24.332277048438208
11674347,male,67,189.0,93.0,8.0,77.0,39.2,29.0,26.035105400184765
19797300,female,31,148.0,50.0,8.0,84.0,39.5,32.0,22.826880934989045
14711095,female,33,157.0,60.0,3.0,80.0,38.7,10.0,24.341758286340216
14434854,female,20,165.0,59.0,29.0,100.0,41.0,155.0,21.6712580348944
14893804,male,48,182.0,85.0,1.0,80.0,37.7,3.0,25.661152034778407
17231597,male,29,176.0,75.0,10.0,83.0,39.7,24.0,24.212293388429753
10901446,male,33,173.0,73.0,7.0,78.0,39.3,12.0,24.3910588392529
15874362,male,42,190.0,88.0,3.0,83.0,38.9,10.0,24.37673130193906
15569252,female,62,159.0,59.0,29.0,106.0,41.2,195.0,23.337684427040067
15615743,male,38,171.0,75.0,2.0,81.0,38.2,5.0,25.64891761567662
13363046,male,20,183.0,88.0,16.0,97.0,40.5,69.0,26.27728507868255
17572853,female,25,160.0,59.0,24.0,102.0,40.3,136.0,23.046874999999996
17157339,female,24,165.0,59.0,18.0,91.0,40.2,80.0,21.6712580348944
18328111,female,42,165.0,68.0,22.0,93.0,40.8,107.0,24.977043158861342
19303479,male,22,182.0,84.0,29.0,114.0,41.0,200.0,25.359256128486894
10699201,female,74,158.0,59.0,10.0,93.0,39.6,56.0,23.634033007530842
15283313,female,70,154.0,59.0,10.0,88.0,40.0,50.0,24.87771968291449
16324247,female,26,182.0,80.0,21.0,96.0,40.5,100.0,24.151672503320853
14277710,male,44,184.0,86.0,25.0,114.0,40.8,200.0,25.401701323251416
10888188,male,61,183.0,86.0,1.0,81.0,38.3,4.0,25.680074054167036
13379795,female,68,157.0,57.0,13.0,92.0,40.1,70.0,23.124670372023203
17181524,female,61,176.0,70.0,20.0,104.0,40.5,127.0,22.59814049586777
15988442,male,63,179.0,80.0,25.0,108.0,40.8,197.0,24.968009737523797
19538533,female,54,171.0,66.0,20.0,98.0,40.1,113.0,22.571047501795427
14591877,female,54,169.0,66.0,3.0,80.0,38.9,11.0,23.1084345786212
14274480,female,47,155.0,55.0,16.0,93.0,40.5,82.0,22.892819979188342
16818429,male,33,184.0,86.0,8.0,86.0,39.9,26.0,25.401701323251416
17476522,female,24,171.0,66.0,24.0,105.0,40.6,141.0,22.571047501795427
16369885,male,24,195.0,98.0,20.0,96.0,40.6,92.0,25.77251808021039
17816292,male,48,152.0,59.0,2.0,79.0,38.0,5.0,25.536703601108034
15995398,male,35,193.0,93.0,10.0,83.0,39.7,30.0,24.967113211092915
17615432,male,21,168.0,71.0,3.0,78.0,38.5,3.0,25.15589569160998
10146087,female,21,179.0,73.0,9.0,90.0,39.6,37.0,22.783308885490467
17967445,female,22,158.0,62.0,25.0,105.0,40.6,147.0,24.83576349943919
19670291,female,69,174.0,69.0,2.0,80.0,38.1,8.0,22.79032897344431
10580576,male,53,191.0,101.0,21.0,106.0,40.7,159.0,27.685644582111237
15854213,female,68,155.0,58.0,15.0,100.0,40.3,93.0,24.141519250780433
11138472,female,69,164.0,65.0,23.0,113.0,40.4,173.0,24.167162403331353
18276801,male,28,198.0,101.0,19.0,95.0,40.6,89.0,25.762677277828793
13823902,male,70,188.0,89.0,7.0,82.0,39.3,31.0,25.18107741059303
19222133,female,36,170.0,64.0,9.0,84.0,39.6,35.0,22.145328719723185
13231909,female,77,177.0,80.0,16.0,98.0,40.6,94.0,25.53544639152223
12726617,female,32,167.0,63.0,9.0,99.0,39.7,49.0,22.589551436050055
12538968,female,62,185.0,77.0,13.0,84.0,40.4,54.0,22.498173849525198
10941668,female,64,151.0,56.0,20.0,97.0,40.4,117.0,24.560326301478007
12628985,male,45,175.0,79.0,27.0,104.0,40.6,173.0,25.79591836734694
17691320,male,45,158.0,61.0,20.0,97.0,40.7,99.0,24.435186668803073
17822027,female,22,177.0,71.0,10.0,93.0,39.8,45.0,22.66270867247598
13777657,male,45,169.0,69.0,22.0,113.0,40.6,166.0,24.158817968558527
19423359,female,66,174.0,69.0,28.0,111.0,40.9,202.0,22.79032897344431
14701930,male,31,182.0,83.0,20.0,101.0,40.9,107.0,25.057360222195385
